0,0.000,0.000
1,2.401,0.532
2,4.631,1.026
3,6.861,1.520
4,9.090,2.014
5,11.320,2.508
6,13.549,3.002
7,15.949,3.534
8,18.177,4.028
9,20.404,4.522
10,22.631,5.016
11,24.857,5.510
12,27.083,6.004
13,29.479,6.536
14,31.703,7.030
15,33.926,7.524
16,36.148,8.018
17,38.369,8.512
18,40.760,9.044
19,42.979,9.538
20,45.196,10.032
21,47.413,10.526
22,49.798,11.058
23,52.012,11.552
24,54.224,12.046
25,56.434,12.540
26,58.813,13.072
27,61.020,13.566
28,63.225,14.060
29,65.429,14.554
30,67.800,15.086
31,70.000,15.580
32,72.197,16.074
33,74.562,16.606
34,76.755,17.100
35,79.115,17.632
36,81.304,18.126
37,83.490,18.620
38,85.842,19.152
39,88.024,19.646
40,90.371,20.178
41,92.547,20.672
42,94.888,21.204
43,97.059,21.698
44,99.394,22.230
45,101.559,22.724
46,103.887,23.256
47,106.046,23.750
48,108.368,24.282
49,110.521,24.776
50,112.836,25.308
51,115.147,25.840
52,117.290,26.334
53,119.594,26.866
54,121.894,27.398
55,124.027,27.892
56,126.319,28.424
57,128.607,28.956
58,130.891,29.488
59,133.171,30.020
60,135.284,30.514
61,137.555,31.046
62,139.822,31.578
63,142.084,32.110
64,144.341,32.642
65,146.594,33.174
66,148.842,33.706
67,151.085,34.238
68,153.323,34.770
69,155.557,35.302
70,157.785,35.834
71,160.166,36.404
72,162.383,36.936
73,164.595,37.468
74,166.802,38.000
75,169.160,38.570
76,171.356,39.102
77,173.545,39.634
78,175.885,40.204
79,178.063,40.736
80,180.235,41.268
81,182.555,41.838
82,184.869,42.408
83,187.022,42.940
84,189.323,43.510
85,191.463,44.042
86,193.750,44.612
87,196.029,45.182
88,198.301,45.752
89,200.565,46.322
90,202.672,46.854
91,204.922,47.424
92,207.164,47.994
93,209.398,48.564
94,211.624,49.134
95,213.990,49.742
96,216.200,50.312
97,218.402,50.882
98,220.596,51.452
99,222.927,52.060
100,225.103,52.630
101,227.415,53.238
102,229.574,53.808
103,231.867,54.416
104,234.008,54.986
105,236.282,55.594
106,238.546,56.202
107,240.800,56.810
108,243.043,57.418
109,245.277,58.026
110,247.499,58.634
111,249.711,59.242
112,251.913,59.850
113,254.103,60.458
114,256.283,61.066
115,258.587,61.712
116,260.744,62.320
